id;sentimento_humano
1;negativo
2;negativo
3;negativo
4;negativo
5;neutro
6;neutro
7;negativo
8;neutro
9;neutro
10;negativo
11;neutro
12;negativo
13;negativo
14;negativo
15;positivo
16;neutro
17;negativo
18;negativo
19;negativo
20;negativo
21;neutro
22;negativo
23;negativo
24;negativo
25;negativo
26;neutro
27;negativo
28;neutro
29;neutro
30;neutro
31;neutro
32; negativo
33;negativo
34;negativo
35;neutro
36;negativo
37;neutro
38;neutro
39;negativo
40;negativo
41;positivo
42;negativo
43;negativo
44;negativo
45;neutro
46;negativo
47;negativo
48;positivo
49;negativo
50;negativo
